ID,Species,Source,Sex,Site,Lat,Lon,Date,Observation,BM,SVL,Tail,BP,TP,FLP,HLP,ILL,TestesW,TestesL,TestesM,Follicules,FolliculesM,ClutchM,FolliculeD,FatBody
193,merianae,hunted,female,A,NA,NA,11/29/2008,Gravid,2,37.5,62.5,33.5,14,7,8.5,NA,NA,NA,NA,33,NA,590.62,NA,16.64
202,rufescens,hunted,female,A,NA,NA,11/29/2008,NA,0.7,31,10,18.5,12,6,9.5,NA,NA,NA,NA,40,0.175,,0.2975,8.22
204,rufescens,hunted,female,A,NA,NA,12/10/2008,NA,1.65,40.5,15,24.5,15.5,7.5,11.5,19,NA,NA,NA,77,1.335,NA,0.47,24.97
205,merianae,hunted,female,A,NA,NA,12/10/2008,NA,1,35,14,21,13.5,6.5,10.5,17,NA,NA,NA,134,0.975,NA,0.325,20.79
207,merianae,hunted,female,A,NA,NA,12/10/2008,Gravid,1.3,34.5,29,27,12,6,9.5,16.5,NA,NA,NA,24,NA,365.23,NA,0.71
209,merianae,hunted,female,A,NA,NA,12/10/2008,NA,1.65,37.5,42,24,15.5,7.5,11,18.5,NA,NA,NA,50,4.445,NA,0.8575,72.87
210,merianae,hunted,female,A,NA,NA,12/10/2008,Gravid,2,39.5,57,31.5,14.5,7.5,10.5,20,NA,NA,NA,34,NA,540.23,NA,18.99
216,merianae,hunted,female,A,NA,NA,12/10/2008,Gravid,2.1,38.5,68,30,14.5,8,11.5,18.5,NA,NA,NA,31,NA,506.07,NA,40.45
218,merianae,hunted,female,A,NA,NA,12/10/2008,NA,1.25,37,60,21.5,14,6.5,10,16.5,NA,NA,NA,63,0.345,NA,0.2575,21.92
219,merianae,hunted,female,A,NA,NA,12/10/2008,NA,1.05,34.5,57,19.5,13,6,11,16,NA,NA,NA,55,1.27,NA,0.4775,9.71
222,merianae,hunted,female,A,NA,NA,12/10/2008,NA,1.7,37,63,24,16,7,12,17.5,NA,NA,NA,115,1.455,NA,0.48,87.44
223,merianae,hunted,female,A,NA,NA,12/10/2008,NA,0.95,32.5,56,19.5,13,5.5,9.5,15.5,NA,NA,NA,88,0.4,NA,0.295,11
225,merianae,hunted,female,A,NA,NA,12/10/2008,NA,1.1,33.5,57,22,14,6.5,10,16.5,NA,NA,NA,23,4.5,NA,0.76,44.14
226,merianae,hunted,female,A,NA,NA,12/10/2008,NA,1.1,36,67,20,13.5,6.5,10.5,15.5,NA,NA,NA,90,0.935,NA,0.3575,5.46
228,merianae,hunted,female,A,NA,NA,12/10/2008,NA,1.8,38.5,50,26,15.5,7.5,11.5,19,NA,NA,NA,34,34.82,NA,1.62,74.57
230,merianae,hunted,female,A,NA,NA,12/10/2008,NA,0.7,31.5,56.5,18,11.5,5.5,8.5,14.5,NA,NA,NA,70,0.34,NA,0.2925,7.89
232,merianae,hunted.longcautivity,female,A,NA,NA,12/20/2008,NA,1.1,38.5,71,22,13.5,7.5,12,18.5,NA,NA,NA,39,0.72,NA,0.2225,2.38
236,merianae,hunted.longcautivity,female,A,NA,NA,12/20/2008,NA,1.8,39.5,57,26,15.5,7.5,12,19,NA,NA,NA,33,15.67,NA,1.43,56.19
239,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.9,42.5,74,23,16,7.5,12,20,NA,NA,NA,118,0.325,,0.2025,3.29
240,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.9,43,51,25.5,15,7.5,12,20,NA,NA,NA,89,0.81,,0.26,16.09
241,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.45,39,18,25,15,7,11,19,NA,NA,NA,38,0.32,,0.1775,39.22
246,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.3,33,65.5,22,13.5,6.5,11,15,NA,NA,NA,66,0.445,NA,0.1975,21.5
247,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.3,36.5,17,22.5,14.5,7,11,17,NA,NA,NA,85,0.695,NA,0.34,40.06
248,rufescens,hunted,female,A,NA,NA,12/20/2008,NA,1.5,38,60,23,15,7,11.5,18.5,NA,NA,NA,NA,0.52,NA,0.245,69.59
250,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.4,38.5,60.5,22,14,7,10.5,18,NA,NA,NA,71,0.545,NA,0.2275,4.8
251,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.25,41,36.5,20.5,12,6.5,10,16.5,NA,NA,NA,64,0.285,NA,0.2,2.55
253,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.7,37.5,50,27,14.5,7,11,18,NA,NA,NA,41,57.94,NA,1.84,32.05
